fecha,DOLAR_TC,EURO_TC,CETES_28,CETES_91,CETES_182,CETES_364,IPC,TIIE_28,TIIE_91,TIIE_182,T_DESEMPLEO,LIBOR_1,LIBOR_3,LIBOR_6,T-BILL_3,T-BILL_12,VIX,S_P500,INFLACION_ANUAL,DOLAR_TC_ADV,EURO_TC_ADV,CETES_28_ADV,CETES_91_ADV,CETES_182_ADV,CETES_364_ADV,IPC_ADV,TIIE_28_ADV,TIIE_91_ADV,TIIE_182_ADV,T_DESEMPLEO_ADV,LIBOR_1_ADV,LIBOR_3_ADV,LIBOR_6_ADV,T-BILL_3_ADV,T-BILL_12_ADV,VIX_ADV,S_P500_ADV,INFLACION_ANUAL_ADV,Reserva_Consumo,Reserva_Comercial,Reserva_Hipotecario,Reserva_Comercial_Empresa_candado,Reserva_Comercial_Negocio_candado,Reserva_Comercial_Empresa,Reserva_Comercial_Negocio,Reserva_Consumo_TDC_ORG,Reserva_Consumo_TDC_MOD,Reserva_Consumo_TDC,Reserva_Consumo_TDC
01/01/2014,13.08,18.04,3.14,3.41,3.55,3.66,40879.75,3.78,3.8,3.82,5.07,0.16,0.24,0.34,0.04,0.11,13.75,1782.59,4.48,13.08,18.04,3.14,3.41,3.55,3.66,40879.75,3.78,3.8,3.82,5.07,0.16,0.24,0.34,0.04,0.11,13.75,1782.59,4.48,3.33,2.8,1.96,,,2.15376555464095,4.7291393689264,15.0033860528631,17.7033860528631,4.87647080149912,0.048764708014991
01/02/2014,13.38,18.28,3.16,3.39,3.52,3.78,38782.89,3.79,3.8,3.82,4.66,0.16,0.24,0.33,0.05,0.11,14.92,1859.45,4.23,13.38,18.28,3.16,3.39,3.52,3.78,38782.89,3.79,3.8,3.82,4.66,0.16,0.24,0.33,0.05,0.11,14.92,1859.45,4.23,3.39,2.67,1.94,,,2.1875996349555,4.15299445484438,15.854435844406,18.554435844406,5.23203806940276,0.052320380694028
01/03/2014,13.24,17.99,3.17,3.29,3.46,3.68,40461.6,3.8,3.81,3.83,4.8,0.15,0.23,0.33,0.05,0.12,14.91,1872.34,3.76,13.24,17.99,3.17,3.29,3.46,3.68,40461.6,3.8,3.81,3.83,4.8,0.15,0.23,0.33,0.05,0.12,14.91,1872.34,3.76,3.44,2.62,2.03,,,2.09536935549253,4.22026973131324,15.8586731152847,18.5586731152847,5.18459328613169,0.051845932861317
01/04/2014,13.03,18.15,3.23,3.37,3.49,3.66,40711.56,3.81,3.81,3.83,4.85,0.13,0.2,0.28,0.03,0.1,12.94,1883.95,3.5,13.03,18.15,3.23,3.37,3.49,3.66,40711.56,3.81,3.81,3.83,4.85,0.13,0.2,0.28,0.03,0.1,12.94,1883.95,3.5,3.49,2.59,2.06,,,2.0559001665891,4.18989162363586,15.6512039323146,18.3512039323146,5.34740978023241,0.053474097802324
01/05/2014,13.09,17.55,3.28,3.42,3.51,3.61,41362.51,3.8,3.82,3.83,4.94,0.14,0.21,0.3,0.03,0.09,12.02,1923.57,3.51,13.09,17.55,3.28,3.42,3.51,3.61,41362.51,3.8,3.82,3.83,4.94,0.14,0.21,0.3,0.03,0.09,12.02,1923.57,3.51,3.55,2.57,2.06,,,1.93511476853111,4.46436158301182,16.3074179027198,19.0074179027198,5.57300141961043,0.055730014196104
01/06/2014,12.86,17.76,3.02,3.08,3.17,3.1,42737.17,3.43,3.44,3.46,4.82,0.15,0.23,0.32,0.04,0.1,11.46,1960.23,3.75,12.86,17.76,3.02,3.08,3.17,3.1,42737.17,3.43,3.44,3.46,4.82,0.15,0.23,0.32,0.04,0.1,11.46,1960.23,3.75,3.65,2.49,2.16,,,1.88435941716097,4.45008900493912,16.6043730934567,19.3043730934567,5.86560085555689,0.058656008555569
01/07/2014,12.96,17.7,2.83,2.9,2.99,3.03,43817.69,3.3,3.31,3.32,5.47,0.15,0.23,0.33,0.03,0.1,11.1,1930.67,4.07,12.96,17.7,2.83,2.9,2.99,3.03,43817.69,3.3,3.31,3.32,5.47,0.15,0.23,0.33,0.03,0.1,11.1,1930.67,4.07,9.6,2.55,2.21,,,1.82708779759344,4.46238390099405,16.0730651412758,18.7730651412758,5.39100235995665,0.053910023599567
01/08/2014,13.19,17.22,2.77,2.89,2.97,3.01,45628.09,3.3,3.31,3.32,5.19,0.15,0.23,0.32,0.03,0.1,13.62,2003.37,4.15,13.19,17.22,2.77,2.89,2.97,3.01,45628.09,3.3,3.31,3.32,5.19,0.15,0.23,0.32,0.03,0.1,13.62,2003.37,4.15,9.76,2.63,2.11,,,1.88257804156206,4.59346098610162,16.396850876879,19.096850876879,5.67978308501813,0.056797830850181
01/09/2014,13.08,16.97,2.83,2.86,2.97,3.09,44985.66,3.29,3.3,3.3,5.09,0.15,0.23,0.33,0.02,0.1,12.92,1972.29,4.22,13.08,16.97,2.83,2.86,2.97,3.09,44985.66,3.29,3.3,3.3,5.09,0.15,0.23,0.33,0.02,0.1,12.92,1972.29,4.22,9.12,2.57,2.11,,,1.81418869266426,4.58044241263006,15.3105478344512,18.0105478344512,5.00768900307295,0.05007689003073
01/10/2014,13.45,16.86,2.9,2.95,3.04,3.17,45027.52,3.29,3.3,3.31,4.78,0.15,0.23,0.32,0.02,0.1,18.17,2018.05,4.3,13.45,16.86,2.9,2.95,3.04,3.17,45027.52,3.29,3.3,3.31,4.78,0.15,0.23,0.32,0.02,0.1,18.17,2018.05,4.3,9.17,2.61,2.04,,,1.84215458978736,4.58468935129666,15.6789651173409,18.3789651173409,5.10418334139595,0.05104183341396
