,fecha,Reserva_Consumo,0,1,2
0,2014-01-01,,,,
1,2014-02-01,,,,
2,2014-03-01,,,,
3,2014-04-01,,,,
4,2014-05-01,,,,
5,2014-06-01,,,,
6,2014-07-01,9.6,,,
7,2014-08-01,9.76,,,
8,2014-09-01,9.12,,,
9,2014-10-01,9.17,,,
10,2014-11-01,8.87,,,
11,2014-12-01,8.84,,,
12,2015-01-01,8.47,,,
13,2015-02-01,8.57,,,
14,2015-03-01,7.84,,,
15,2015-04-01,7.8,,,
16,2015-05-01,7.79,,,
17,2015-06-01,7.52,,,
18,2015-07-01,7.36,,,
19,2015-08-01,7.31,,,
20,2015-09-01,7.4,,,
21,2015-10-01,7.47,,,
22,2015-11-01,7.38,,,
23,2015-12-01,6.89,,,
24,2016-01-01,6.98,,,
25,2016-02-01,6.96,,,
26,2016-03-01,7.09,,,
27,2016-04-01,8.11,,,
28,2016-05-01,7.93,,,
29,2016-06-01,7.76,,,
30,2016-07-01,8.04,,,
31,2016-08-01,8.09,,,
32,2016-09-01,8.31,,,
33,2016-10-01,8.5,,,
34,2016-11-01,8.32,,,
35,2016-12-01,8.27,,,
36,2017-01-01,8.24,,,
37,2017-02-01,8.4,,,
38,2017-03-01,8.32,,,
39,2017-04-01,8.47,,,
40,2017-05-01,8.6,,,
41,2017-06-01,8.89,,,
42,2017-07-01,8.92,,,
43,2017-08-01,8.93,,,
44,2017-09-01,8.98,,,
45,2017-10-01,8.97,,,
46,2017-11-01,8.8,,,
47,2017-12-01,8.65,,,
48,2018-01-01,8.57,,,
49,2018-02-01,8.54,,,
50,2018-03-01,,8.62529408559996,8.142042253291757,9.137228197631632
51,2018-04-01,,9.603874719178995,8.896477443686488,10.367520201733425
52,2018-05-01,,9.375296682045436,8.528877790170535,10.305715480842254
53,2018-06-01,,9.167484952747653,8.202430219076259,10.246082943003612
54,2018-07-01,,9.326604543648159,8.212436386797279,10.591930118745369
55,2018-08-01,,9.239567555645781,8.009936663159301,10.657963003376663
56,2018-09-01,,9.297763758452913,7.93745162935718,10.891204752450442
57,2018-10-01,,9.293133331745905,7.813414606517976,11.05308389107664
58,2018-11-01,,8.910699981434234,7.378813019777373,10.760616097238858
59,2018-12-01,,8.637500080870634,7.044609803902008,10.590566365466506
60,2019-01-01,,8.38317865240638,6.733709016756135,10.436697538204184
61,2019-02-01,,8.281867548910451,6.551211585379842,10.469716815552854
62,2019-03-01,,7.992245810744134,6.2017434584734445,10.299683230541138
63,2019-04-01,,8.009308766787617,6.101399536061554,10.51382171296868
64,2019-05-01,,7.808138625481431,5.838330149913465,10.442545595959269
65,2019-06-01,,7.711162945727607,5.659120592376215,10.507292255914779
66,2019-07-01,,7.467408918166273,5.378287938069225,10.368019822145765
67,2019-08-01,,7.168929949915534,5.066709050889015,10.14338027121931
68,2019-09-01,,6.912241186834342,4.79329431463866,9.967899963716462
69,2019-10-01,,6.606175552952541,4.494179568276692,9.710683512622147
70,2019-11-01,,6.162119768617895,4.1120020118447425,9.234363196664987
71,2019-12-01,,5.75601984989204,3.7670651877149393,8.795113134861504
72,2020-01-01,,5.401523522231442,3.4664679887476697,8.416767861675867
73,2020-02-01,,5.098262343391812,3.2078470178562872,8.102717734780528
74,2020-03-01,,4.835188270440072,2.9320111849312815,7.973723200905591
75,2020-04-01,,4.991668674336967,2.9280786128104124,8.509592620001932
76,2020-05-01,,4.592182459066753,2.603947033827468,8.09852868103984
77,2020-06-01,,4.23123197107174,2.3194286065420093,7.718851075011682
78,2020-07-01,,4.005436736328155,2.122288228206291,7.559540327982102
79,2020-08-01,,3.696121227777952,1.8926886997267016,7.217939290493701
80,2020-09-01,,3.450263382308068,1.7072145327915211,6.9729475579327325
81,2020-10-01,,3.1910902130814085,1.5254343162423813,6.675513091319448
82,2020-11-01,,2.8339875188214902,1.3085162165119164,6.137856875970054
83,2020-12-01,,2.534758841850582,1.13017747859731,5.684949937521253
84,2021-01-01,,,,
85,2021-02-01,,,,
86,2021-03-01,,,,
87,2021-04-01,,,,
88,2021-05-01,,,,
89,2021-06-01,,,,
90,2021-07-01,,,,
91,2021-08-01,,,,
92,2021-09-01,,,,
93,2021-10-01,,,,
94,2021-11-01,,,,
95,2021-12-01,,,,
